,NAME,host_identity_verified,host.name,neighbourhood.group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room.type,Construction.year,price,service.fee,minimum.nights,number.of.reviews,reviews.per.month,review.rate.number,calculated.host.listings.count,availability.365
79608,Brand New Historic Harlem Duplex Apartment,unconfirmed,Julien,Manhattan,Harlem,40.82168,-73.95161,TRUE,flexible,Entire home/apt,2005,"$1,196 ",$239 ,3,45,1.82,5,1,0
55378,"Apartment near JFK,  Subway and Beach",unconfirmed,Veronica,Queens,Arverne,40.591675,-73.790756,TRUE,flexible,Entire home/apt,2017,"$1,196 ",$239 ,3,13,4.29,5,1,27
84691,Prospect Park - Quiet 2 Room Studio,verified,Ro,Brooklyn,Prospect-Lefferts Gardens,40.65799,-73.94924,FALSE,moderate,Entire home/apt,2019,"$1,196 ",$239 ,4,15,0.49,1,2,237
81008,Sunny Spacious Room + Private Bathroom in Bushwick,unconfirmed,Tian,Brooklyn,Bushwick,40.70068,-73.92293,TRUE,moderate,Private room,2012,"$1,195 ",$239 ,3,8,0.33,3,1,0
1021,Industrial Brooklyn Loft with Tree-Lined Windows,unconfirmed,Shell,Brooklyn,Clinton Hill,40.68722,-73.96289,FALSE,flexible,Entire home/apt,2018,"$1,195 ",$239 ,1,54,0.65,5,4,364
35838,Amazing Soho Apartment,unconfirmed,Cathal,Manhattan,SoHo,40.72615,-74.00325,FALSE,strict,Entire home/apt,2014,"$1,195 ",$239 ,4,1,0.1,2,1,7
88364,Cozy private room and bathroom in Brooklyn,unconfirmed,Eric,Brooklyn,Sunset Park,40.64293,-74.01786,TRUE,strict,Private room,2020,"$1,195 ",$239 ,3,106,3.06,1,1,3
83036,Private room in Williamsburg with patio,verified,Alyssa,Brooklyn,Williamsburg,40.71462,-73.96263,TRUE,moderate,Private room,2009,"$1,195 ",$239 ,1,3,0.13,4,1,0
7180,2 BEDROOM IN MIDTOWN EAST,unconfirmed,Olga,Manhattan,Midtown,40.75239,-73.9707,FALSE,flexible,Entire home/apt,2020,"$1,195 ",$239 ,10,169,3.23,5,1,309
95054,WYNDHAM MIDTOWN 45 NEAR THE UNITED NATIONS,unconfirmed,James,Manhattan,Midtown,40.75184,-73.97302,TRUE,strict,Private room,2010,"$1,195 ",$239 ,2,3,0.31,5,2,0
32121,WYNDHAM MIDTOWN 45 NEAR THE UNITED NATIONS,unconfirmed,James,Manhattan,Midtown,40.75184,-73.97302,TRUE,flexible,Private room,2010,"$1,195 ",$239 ,2,3,0.31,5,2,0
73296,Gorgeous Brooklyn Brownstone,unconfirmed,Lucie,Brooklyn,Bedford-Stuyvesant,40.68464,-73.92268,FALSE,strict,Entire home/apt,2006,"$1,195 ",$239 ,2,89,5.59,3,1,35
34425,Super nice space,unconfirmed,Robert,Brooklyn,Sunset Park,40.64431,-74.01261,TRUE,moderate,Private room,2009,"$1,195 ",$239 ,1,7,0.75,2,4,32
58491,Spacious Private Studio in Victorian Brooklyn Home,unconfirmed,Daniel,Brooklyn,Flatbush,40.63452,-73.96537,FALSE,flexible,Entire home/apt,2011,"$1,195 ",$239 ,5,22,0.75,2,1,36
63636,"Private entrance, sanctuary historic fort greene",verified,Ofer,Brooklyn,Fort Greene,40.69348,-73.97038,FALSE,moderate,Entire home/apt,2008,"$1,195 ",$239 ,60,8,0.25,2,2,59
15617,Sunny Duplex in Brooklyn's Best Area,verified,Viviana,Brooklyn,South Slope,40.66872,-73.98906,TRUE,moderate,Entire home/apt,2005,"$1,194 ",$239 ,3,30,0.79,1,3,181
50053,"1 Bedroom Apt in desirable Park Slope, Brooklyn",verified,Kathy,Brooklyn,South Slope,40.66211,-73.98332,FALSE,strict,Entire home/apt,2019,"$1,194 ",$239 ,3,43,3.62,2,1,82
77049,"Private room to rent - Hip Williamsburg, Brooklyn",unconfirmed,Kerry,Brooklyn,Williamsburg,40.70884,-73.94354,TRUE,strict,Private room,2008,"$1,194 ",$239 ,2,77,2.44,2,1,107
52645,Lovely  Getaway 420 friendly,unconfirmed,Ray,Brooklyn,Bedford-Stuyvesant,40.69368,-73.9322,TRUE,moderate,Entire home/apt,2014,"$1,194 ",$239 ,1,12,6.92,2,1,318
16063,Artsy Home in the Heart of Bushwick,unconfirmed,Mariella,Brooklyn,Bushwick,40.68622,-73.91026,TRUE,moderate,Private room,2011,"$1,194 ",$239 ,1,20,0.53,2,1,303
78579,Coney Island Pvt 1 Br Apt. * Wi-Fi,verified,Ed,Brooklyn,Coney Island,40.57575,-73.98465,TRUE,strict,Entire home/apt,2004,"$1,194 ",$239 ,2,63,2.23,4,6,140
83230,Nice Room in the upper west Manhathan,unconfirmed,Cesar,Manhattan,Harlem,40.81968,-73.95831,TRUE,moderate,Private room,2007,"$1,194 ",$239 ,1,36,1.65,2,2,169
91237,Coney Island Pvt 1 Br Apt. * Wi-Fi,verified,Ed,Brooklyn,Coney Island,40.57575,-73.98465,FALSE,strict,Entire home/apt,2004,"$1,194 ",$239 ,2,63,2.23,4,6,140
54760,ECO CLASSIC ROOM AT UES,verified,Maria,Manhattan,Upper East Side,40.78278,-73.95371,FALSE,flexible,Private room,2012,"$1,193 ",$239 ,3,18,2.65,5,2,243
67182,MedRoom 315-3C,verified,Orfelina,Bronx,Claremont Village,40.84353,-73.90542,FALSE,flexible,Private room,2012,"$1,193 ",$239 ,5,5,0.19,3,25,247
37607,"**Harlem, Chic Getaway! 5m to Dining/Trains***",verified,Stephanie,Manhattan,Harlem,40.82431,-73.94291,TRUE,strict,Entire home/apt,2008,"$1,193 ",$239 ,3,8,1.1,2,1,88
33122,Beautiful 1 Bdrm w/ Large Private Patio,verified,Emily,Brooklyn,Williamsburg,40.70901,-73.95471,FALSE,flexible,Entire home/apt,2012,"$1,193 ",$239 ,2,5,0.39,4,1,0
22559,Sunny East Village Apartment,unconfirmed,Bobby,Manhattan,East Village,40.72412,-73.97911,FALSE,strict,Entire home/apt,2021,"$1,193 ",$239 ,5,1,0.04,5,1,0
60012,Peaches Home away from home,unconfirmed,Peaches,Queens,Woodhaven,40.68843,-73.86437,TRUE,moderate,Entire home/apt,2004,"$1,192 ",$238 ,3,25,1.11,2,1,153
37477,"Room near JFK, good for Cancellations and Delays!",unconfirmed,Portia,Queens,Jamaica,40.67233,-73.77751,TRUE,moderate,Private room,2003,"$1,192 ",$238 ,1,2,0.32,4,4,253
9451,Amazing LES Manhattan Apt in LES,verified,Marianna,Manhattan,Lower East Side,40.7201,-73.9841,FALSE,moderate,Entire home/apt,2011,"$1,192 ",$238 ,3,44,0.92,2,1,283
64201,Fully Furnished  2 Bedroom Bronx Apartment,verified,C,Bronx,Morrisania,40.83383,-73.89947,FALSE,moderate,Entire home/apt,2018,"$1,192 ",$238 ,30,2,0.24,5,1,308
51674,(NO BOOKING FEE) X-LARGE PVT Room w/ GYM & ROOFTOP,unconfirmed,Lynn,Manhattan,Financial District,40.70771,-74.00794,FALSE,strict,Private room,2012,"$1,192 ",$238 ,3,39,0.53,4,2,120
76102,"Huge, Sunny Apartment on Bushwick/Bed Stuy Border!",unconfirmed,Ryan,Brooklyn,Bedford-Stuyvesant,40.69377,-73.9307,FALSE,moderate,Entire home/apt,2020,"$1,192 ",$238 ,2,8,0.24,5,1,10
74079,Sonder | Stock Exchange | Dashing 1BR + Kitchen,verified,Sonder (NYC),Manhattan,Financial District,40.70584,-74.01039,TRUE,flexible,Entire home/apt,2008,"$1,192 ",$238 ,2,3,0.77,4,327,317
39356,"Room in Charming, Plant-filled Brooklyn Apartment",verified,Kayla,Brooklyn,Gowanus,40.66902,-73.99188,FALSE,strict,Private room,2020,"$1,192 ",$238 ,1,20,3.13,2,1,146
35540,法拉盛步行地铁10分钟单房(共用卫生间)Queen size 床,unconfirmed,Cen,Queens,Flushing,40.75522,-73.83451,FALSE,moderate,Private room,2008,"$1,191 ",$238 ,1,19,1.84,3,3,0
41403,Sonder | Stock Exchange | Expansive 3BR + Lounge,unconfirmed,Sonder (NYC),Manhattan,Financial District,40.70775,-74.01047,FALSE,strict,Entire home/apt,2014,"$1,191 ",$238 ,2,11,3.33,3,327,297
95051,New unit Amazing apartment on 5th  ave 3 bdr #4,unconfirmed,Steven,Manhattan,East Harlem,40.80068,-73.94598,TRUE,strict,Entire home/apt,2007,"$1,191 ",$238 ,3,36,3.17,5,2,28
75697,Luxury 1 Bedroom Loft,unconfirmed,Dakota,Brooklyn,Bedford-Stuyvesant,40.69911,-73.94162,FALSE,strict,Private room,2011,"$1,191 ",$238 ,10,1,0.29,2,1,59
31132,Bright Bohemian Treasure in Prospect Heights,verified,Patti,Brooklyn,Prospect Heights,40.67942,-73.96469,TRUE,flexible,Private room,2021,"$1,191 ",$238 ,2,8,0.53,5,2,0
34935,Cozy Spacious Loft Convenient to City,unconfirmed,Sami,Queens,Jackson Heights,40.74997,-73.87851,TRUE,moderate,Entire home/apt,2014,"$1,191 ",$238 ,3,25,3.21,5,1,55
98473,法拉盛步行地铁10分钟单房(共用卫生间)Queen size 床,unconfirmed,Cen,Queens,Flushing,40.75522,-73.83451,FALSE,flexible,Private room,2008,"$1,191 ",$238 ,1,19,1.84,3,3,0
26153,Perfect one bedroom in midtown Manhattan,verified,Stanley,Manhattan,Murray Hill,40.74814,-73.97554,TRUE,flexible,Entire home/apt,2011,"$1,191 ",$238 ,30,1,0.09,3,50,365
12432,Angelina,verified,Vitaliy,Manhattan,Harlem,40.80948,-73.94739,FALSE,moderate,Entire home/apt,2017,"$1,191 ",$238 ,3,69,1.61,3,1,259
52641,"2-bedroom apartment near JFK LGA, eat, shop play.",verified,Mineva,Queens,South Ozone Park,40.67792,-73.82191,TRUE,strict,Entire home/apt,2016,"$1,191 ",$238 ,1,10,3.85,3,4,356
44169,Huge Townhouse in New York City,verified,David,Manhattan,Kips Bay,40.74142,-73.98219,FALSE,moderate,Entire home/apt,2019,"$1,191 ",$238 ,1,2,1.87,2,9,287
66887,Confortable,unconfirmed,Jackeline,Queens,Elmhurst,40.74377,-73.86779,TRUE,strict,Private room,2021,"$1,190 ",$238 ,30,1,0.05,3,2,0
50071,NYC Style Superior Family Studio,verified,Henry,Manhattan,Chelsea,40.7483,-73.98891,TRUE,strict,Entire home/apt,2014,"$1,190 ",$238 ,1,240,25.62,2,11,279
35902,Cozy 3 Bedroom in the heart of NYC,verified,Leah,Manhattan,Hell's Kitchen,40.76088,-73.98971,TRUE,flexible,Entire home/apt,2010,"$1,190 ",$238 ,30,1,0.26,4,1,331
40386,small room in Manhattan. Close to major nyc sites,verified,Mary,Manhattan,Morningside Heights,40.81053,-73.96123,TRUE,flexible,Private room,2022,"$1,190 ",$238 ,1,1,0.17,2,2,0
10771,Large and Charming East Village Apt,unconfirmed,Matin,Manhattan,East Village,40.72824,-73.97543,FALSE,flexible,Entire home/apt,2015,"$1,190 ",$238 ,3,11,0.24,5,1,278
64245,"Smart Studio in Trendy Tribeca, Indoor pool + Gym by Blueground",verified,Blueground,Manhattan,Tribeca,40.715794,-74.005875,TRUE,moderate,Entire home/apt,2006,"$1,190 ",$238 ,30,2,0.05,4,332,350
31829,Queens C Place,unconfirmed,Christine,Queens,South Ozone Park,40.66872,-73.79417,TRUE,strict,Private room,2017,"$1,190 ",$238 ,3,15,1.18,3,2,365
12743,Big Studio W/ Prive Patio +Amenity,verified,Will,Brooklyn,Greenpoint,40.72107,-73.95376,FALSE,moderate,Entire home/apt,2014,"$1,190 ",$238 ,1,3,0.1,4,1,54
72604,Large and Charming East Village Apt,verified,Matin,Manhattan,East Village,40.72824,-73.97543,TRUE,flexible,Entire home/apt,2015,"$1,190 ",$238 ,3,11,0.24,5,1,0
30104,Big beautiful bedroom in huge Bushwick apartment,verified,Megan,Brooklyn,Bushwick,40.69839,-73.92044,FALSE,flexible,Private room,2011,"$1,190 ",$238 ,2,8,0.52,5,2,8
14559,Fantastic 1 Bdrm | Entire Apartment,verified,James,Manhattan,Harlem,40.81086,-73.94037,FALSE,moderate,Entire home/apt,2014,"$1,190 ",$238 ,14,2,0.05,1,1,321
79868,Little Haven in Brooklyn Redeux,unconfirmed,Allison,Brooklyn,Bedford-Stuyvesant,40.68017,-73.95182,TRUE,flexible,Entire home/apt,2019,"$1,190 ",$238 ,1,131,4.96,1,1,185
22704,Little Haven in Brooklyn Redeux,unconfirmed,Allison,Brooklyn,Bedford-Stuyvesant,40.68017,-73.95182,TRUE,flexible,Entire home/apt,2019,"$1,190 ",$238 ,1,131,4.96,1,1,185
94820,Musician's Apartment Near the Park,unconfirmed,Emma,Brooklyn,Prospect-Lefferts Gardens,40.66364,-73.94978,TRUE,strict,Entire home/apt,2016,"$1,190 ",$238 ,60,15,1.21,3,1,2
59698,"A Safe & Pleasant Time in NYC, 3",unconfirmed,Geoff & Aurelia,Manhattan,East Harlem,40.79465,-73.935,TRUE,strict,Entire home/apt,2016,"$1,190 ",$238 ,3,26,0.3,4,3,270
56135,Bed-Stuy 2 Bed/2 Bath - Renovated,verified,Barry,Brooklyn,Bedford-Stuyvesant,40.68456,-73.93987,FALSE,moderate,Entire home/apt,2014,"$1,190 ",$238 ,30,23,0.66,2,1,105
22700,"Comfy, Awesome, Large Apt. in Brownstone",verified,Nicky,Brooklyn,Clinton Hill,40.68805,-73.96114,TRUE,flexible,Private room,2016,"$1,190 ",$238 ,2,45,2.11,5,1,43
6496,Ideal One Bedroom on UWS,unconfirmed,Adam,Manhattan,Upper West Side,40.79973,-73.9711,TRUE,moderate,Entire home/apt,2019,"$1,190 ",$238 ,2,6,0.11,1,1,162
45028,Enjoy Yourself in Classic East Village 1BR,unconfirmed,Corey,Manhattan,East Village,40.72709,-73.98582,TRUE,strict,Entire home/apt,2017,"$1,190 ",$238 ,1,8,4.9,3,1,15
72595,LOVELY Clean&Safe 2 BR NYC Suburban,unconfirmed,Martha,Staten Island,Great Kills,40.5455,-74.14829,FALSE,moderate,Private room,2015,"$1,189 ",$238 ,1,82,1.78,3,1,325
55625,JFK Suite 1 - No Pet & No Smoking INSIDE,verified,Fritzner,Queens,Springfield Gardens,40.66025,-73.75909,TRUE,flexible,Entire home/apt,2009,"$1,189 ",$238 ,2,20,1.41,3,1,176
11488,Big manhattan room w gorgeous views.,unconfirmed,D,Manhattan,East Harlem,40.79207,-73.94196,TRUE,flexible,Private room,2022,"$1,189 ",$238 ,1,16,1.15,1,2,231
76356,NEW & PRIVATE 2 bedroom apt in stately townhouse,verified,Ken,Brooklyn,Gowanus,40.68255,-73.9899,FALSE,flexible,Entire home/apt,2022,"$1,189 ",$238 ,30,118,3.53,4,1,265
79282,Cute bedroom available near subway in Astoria!,verified,Kerstin,Queens,Astoria,40.76529,-73.92304,TRUE,moderate,Private room,2005,"$1,189 ",$238 ,2,14,0.55,5,1,0
73614,Gorgeous Room in Downtown Designer Apartment,unconfirmed,Tess,Manhattan,Two Bridges,40.71262,-73.99592,FALSE,flexible,Private room,2020,"$1,189 ",$238 ,3,17,1.31,5,2,86
52122,Lovely Brownstone Apartment with Backyard (2-bed),unconfirmed,Sarah & Burak,Brooklyn,Bedford-Stuyvesant,40.68598,-73.95527,TRUE,strict,Entire home/apt,2012,"$1,189 ",$238 ,2,4,1.97,5,1,92
39896,Riverdale private room,verified,Viktoria,Bronx,Fieldston,40.88796,-73.90473,FALSE,flexible,Private room,2004,"$1,189 ",$238 ,1,3,0.45,3,1,0
37540,Modern Apartment in Brooklyn with deck and yard,verified,Maruf,Brooklyn,Kensington,40.64261,-73.9835,TRUE,moderate,Entire home/apt,2013,"$1,189 ",$238 ,1,24,3.27,3,1,290
34675,"Room in Bedstuy! Exposed brick, subways are close",verified,Eitan,Brooklyn,Bedford-Stuyvesant,40.68299,-73.92713,FALSE,flexible,Private room,2004,"$1,188 ",$238 ,1,4,0.36,3,1,0
13125,Private room in Park Slope,verified,Lilly,Brooklyn,South Slope,40.66249,-73.97921,FALSE,flexible,Private room,2020,"$1,188 ",$238 ,1,1,0.02,1,1,219
58778,Affordable Private Room in Manhattan!,verified,Alex,Manhattan,Washington Heights,40.8427,-73.93478,FALSE,moderate,Private room,2005,"$1,188 ",$238 ,30,42,0.69,5,1,0
61971,Liberty Apt,verified,Ozigbe,Brooklyn,East New York,40.67191,-73.89151,FALSE,moderate,Entire home/apt,2015,"$1,188 ",$238 ,30,3,0.13,3,2,0
16081,"6BR, 4 Full Bath Duplex with Washer & Dryer",verified,Lucy,Brooklyn,Crown Heights,40.66629,-73.93073,FALSE,moderate,Entire home/apt,2004,"$1,188 ",$238 ,3,33,1.12,1,4,259
63022,"Hip, lofty garden oasis apt with sundeck",unconfirmed,Andrew,Brooklyn,Crown Heights,40.67823,-73.96332,TRUE,strict,Entire home/apt,2003,"$1,188 ",$238 ,3,9,0.27,4,3,328
